material_type,weight_g,moisture_pct,size_cm,is_contaminated,recyclable,recommended_bin
plastic,212.85,92.08,6.63,0,1,recyclable
glass,105.74,96.84,9.89,1,1,recyclable
plastic,131.53,54.06,1.0,0,1,recyclable
glass,178.85,45.82,14.79,0,1,recyclable
metal,75.47,94.5,11.56,0,1,recyclable
paper,5.0,67.36,12.44,0,1,recyclable
plastic,135.33,6.49,4.53,1,1,recyclable
e-waste,179.32,46.57,13.99,0,0,hazardous
organic,38.91,24.02,20.26,0,0,organic
metal,160.21,46.98,11.08,1,1,recyclable
plastic,160.62,45.55,15.25,0,1,recyclable
organic,5.0,58.21,7.65,1,0,organic
plastic,63.82,35.68,11.62,0,1,recyclable
glass,96.25,16.43,4.34,0,1,recyclable
plastic,109.22,50.37,15.94,0,1,recyclable
e-waste,75.41,83.02,12.8,0,0,hazardous
plastic,72.18,66.4,5.9,0,1,recyclable
plastic,220.29,33.84,7.99,0,1,recyclable
e-waste,113.55,93.55,12.31,0,0,hazardous
metal,78.3,91.22,16.62,0,1,recyclable
plastic,117.53,20.93,19.4,1,1,recyclable
e-waste,152.23,3.94,11.33,0,0,hazardous
organic,123.1,74.13,5.18,0,0,organic
glass,107.66,82.76,13.19,1,1,recyclable
glass,81.0,96.79,20.92,0,1,recyclable
plastic,80.27,88.98,3.89,0,1,recyclable
metal,84.13,60.05,7.23,1,1,recyclable
metal,140.33,53.01,15.05,1,1,recyclable
organic,60.35,2.78,12.77,0,0,organic
plastic,143.6,24.67,9.27,0,1,recyclable
glass,204.78,45.96,13.1,0,1,recyclable
metal,139.54,62.85,16.89,0,1,recyclable
plastic,97.82,55.73,11.51,0,1,recyclable
metal,42.11,74.26,11.07,0,1,recyclable
e-waste,214.69,27.98,14.95,0,0,hazardous
metal,49.8,56.5,10.65,0,1,recyclable
glass,170.91,8.81,17.71,0,1,recyclable
paper,158.31,41.37,22.13,0,1,recyclable
organic,105.79,75.02,7.54,0,0,organic
organic,104.22,69.34,5.75,0,0,organic
glass,9.86,99.06,13.86,0,1,recyclable
metal,139.8,27.79,5.57,0,1,recyclable
plastic,157.2,49.82,5.49,0,1,recyclable
metal,54.66,32.95,1.75,0,1,recyclable
glass,110.65,44.06,10.09,0,1,recyclable
organic,122.27,85.7,11.84,0,0,organic
metal,155.07,68.42,9.41,0,1,recyclable
organic,120.23,88.24,18.95,0,0,organic
plastic,22.42,20.35,18.58,0,1,recyclable
organic,88.2,87.34,21.64,0,0,organic
organic,133.48,5.98,12.23,0,0,organic
paper,170.49,88.86,17.92,0,1,recyclable
paper,82.94,32.91,13.54,0,1,recyclable
e-waste,251.26,31.46,13.04,1,0,hazardous
paper,6.33,51.21,9.66,0,1,recyclable
organic,86.18,94.07,1.0,0,0,organic
glass,115.02,4.78,15.19,1,1,recyclable
organic,107.96,35.22,17.77,1,0,organic
glass,46.07,85.66,4.37,0,1,recyclable
glass,146.87,39.61,11.95,0,1,recyclable
paper,142.27,19.92,16.96,0,1,recyclable
metal,122.88,42.48,10.2,0,1,recyclable
plastic,139.91,38.56,17.97,0,1,recyclable
paper,94.57,91.54,11.3,0,1,recyclable
paper,22.96,76.19,9.37,0,1,recyclable
metal,77.0,50.51,18.25,0,1,recyclable
plastic,129.42,98.84,7.33,0,1,recyclable
organic,129.76,46.53,8.38,1,0,organic
e-waste,122.48,5.82,7.52,0,0,hazardous
e-waste,152.92,26.23,6.29,0,0,hazardous
organic,85.13,43.61,12.77,0,0,organic
paper,121.6,15.69,9.44,0,1,recyclable
plastic,154.33,94.76,14.44,0,1,recyclable
paper,114.91,76.68,3.33,1,1,recyclable
glass,45.4,26.83,6.39,1,1,recyclable
paper,62.31,59.08,12.26,0,1,recyclable
paper,169.85,72.14,19.35,0,1,recyclable
organic,203.55,94.13,13.89,0,0,organic
organic,190.52,88.16,9.05,0,0,organic
organic,133.93,51.52,4.55,0,0,organic
e-waste,47.81,77.47,8.76,0,0,hazardous
glass,119.62,56.21,11.79,0,1,recyclable
organic,213.74,55.27,1.0,0,0,organic
plastic,157.11,11.47,5.93,0,1,recyclable
e-waste,107.55,12.61,8.31,1,0,hazardous
metal,157.72,52.95,10.71,0,1,recyclable
plastic,43.84,26.89,11.73,0,1,recyclable
plastic,78.26,2.1,8.95,0,1,recyclable
organic,54.95,72.28,14.53,0,0,organic
metal,148.17,3.25,12.62,0,1,recyclable
metal,162.85,59.53,10.15,0,1,recyclable
e-waste,110.77,53.92,15.22,1,0,hazardous
metal,67.62,96.88,14.81,0,1,recyclable
glass,118.82,48.42,4.73,0,1,recyclable
organic,90.81,6.36,11.84,0,0,organic
metal,72.23,55.17,16.45,1,1,recyclable
e-waste,140.34,84.11,17.29,1,0,hazardous
glass,74.52,99.68,13.85,0,1,recyclable
paper,26.02,43.03,10.83,0,1,recyclable
paper,39.35,32.03,14.11,0,1,recyclable
glass,23.8,90.67,16.04,0,1,recyclable
e-waste,134.85,19.12,12.58,0,0,hazardous
glass,129.02,61.54,13.14,0,1,recyclable
organic,126.03,40.57,10.75,0,0,organic
organic,155.26,4.11,5.32,0,0,organic
paper,191.52,34.73,11.13,0,1,recyclable
metal,84.46,26.52,8.61,1,1,recyclable
e-waste,144.39,68.61,8.63,0,0,hazardous
paper,25.22,94.88,19.17,0,1,recyclable
metal,202.72,26.8,16.76,0,1,recyclable
metal,45.31,81.15,3.53,0,1,recyclable
organic,77.4,5.54,6.58,0,0,organic
plastic,84.14,53.81,10.18,0,1,recyclable
plastic,28.42,7.06,8.8,0,1,recyclable
glass,121.95,93.4,13.59,0,1,recyclable
organic,132.83,76.64,5.78,0,0,organic
metal,108.64,65.79,16.79,0,1,recyclable
e-waste,27.59,82.39,11.78,1,0,hazardous
plastic,239.0,64.75,10.3,0,1,recyclable
metal,152.95,96.89,11.93,0,1,recyclable
plastic,278.05,71.4,9.91,0,1,recyclable
plastic,71.69,92.47,1.85,1,1,recyclable
plastic,177.47,51.71,12.06,0,1,recyclable
e-waste,166.76,11.71,10.4,0,0,hazardous
organic,102.57,52.82,7.23,1,0,organic
e-waste,204.66,12.69,17.49,0,0,hazardous
paper,95.68,59.25,15.35,0,1,recyclable
metal,98.35,48.25,24.19,0,1,recyclable
organic,5.0,62.26,16.17,1,0,organic
organic,144.54,1.0,8.78,0,0,organic
organic,40.47,19.48,7.47,0,0,organic
organic,86.96,49.13,9.53,0,0,organic
e-waste,58.43,95.05,8.67,0,0,hazardous
organic,98.03,38.36,12.54,0,0,organic
glass,146.63,42.44,4.31,0,1,recyclable
metal,120.67,71.47,15.24,0,1,recyclable
organic,162.58,60.38,12.46,0,0,organic
metal,195.94,29.89,14.66,0,1,recyclable
glass,97.87,41.08,6.28,1,1,recyclable
glass,91.29,21.77,13.23,0,1,recyclable
metal,177.46,96.6,18.5,1,1,recyclable
plastic,182.22,13.06,7.7,0,1,recyclable
paper,164.44,37.18,7.56,0,1,recyclable
plastic,62.87,2.58,15.56,0,1,recyclable
plastic,145.36,22.18,7.15,0,1,recyclable
e-waste,126.57,78.05,10.83,1,0,hazardous
plastic,183.15,20.12,19.38,1,1,recyclable
organic,85.63,8.01,7.63,0,0,organic
e-waste,20.0,47.45,19.72,0,0,hazardous
e-waste,161.41,1.0,10.32,0,0,hazardous
glass,5.0,8.48,6.39,0,1,recyclable
plastic,76.11,80.76,15.02,0,1,recyclable
glass,58.61,77.15,12.54,0,1,recyclable
metal,58.2,91.51,12.07,0,1,recyclable
paper,75.06,85.45,8.16,0,1,recyclable
e-waste,193.04,68.32,12.5,1,0,hazardous
metal,169.23,5.23,1.66,1,1,recyclable
metal,104.9,78.28,13.09,0,1,recyclable
organic,188.02,84.55,18.49,1,0,organic
paper,56.26,79.91,3.17,0,1,recyclable
metal,48.1,50.85,9.97,0,1,recyclable
metal,171.82,23.29,7.63,0,1,recyclable
paper,154.78,84.53,4.44,0,1,recyclable
paper,92.38,72.72,1.74,0,1,recyclable
metal,51.87,98.08,6.1,1,1,recyclable
paper,207.58,15.57,10.79,1,1,recyclable
metal,16.79,22.57,17.75,0,1,recyclable
metal,84.09,21.18,4.39,0,1,recyclable
organic,133.71,79.25,13.47,0,0,organic
plastic,228.13,18.69,13.1,0,1,recyclable
metal,142.99,6.67,20.36,0,1,recyclable
glass,148.82,99.86,14.86,0,1,recyclable
e-waste,85.84,2.48,15.14,0,0,hazardous
plastic,154.11,83.52,15.5,0,1,recyclable
plastic,126.32,36.54,7.38,0,1,recyclable
plastic,24.69,84.16,9.14,0,1,recyclable
organic,167.58,55.46,17.58,0,0,organic
metal,178.22,90.16,1.75,0,1,recyclable
organic,168.2,92.62,8.59,0,0,organic
metal,122.0,0.91,5.35,0,1,recyclable
organic,62.63,7.54,13.17,0,0,organic
organic,5.0,25.04,9.89,1,0,organic
e-waste,129.42,66.93,15.13,0,0,hazardous
glass,184.92,88.83,11.46,0,1,recyclable
organic,179.73,45.99,4.27,0,0,organic
e-waste,168.96,60.7,4.5,0,0,hazardous
paper,115.55,18.85,11.97,0,1,recyclable
glass,185.25,80.5,8.14,0,1,recyclable
organic,175.45,96.73,9.34,1,0,organic
plastic,94.64,26.86,16.69,0,1,recyclable
paper,160.6,49.48,15.8,0,1,recyclable
paper,87.84,8.61,20.99,0,1,recyclable
e-waste,152.4,55.91,10.42,0,0,hazardous
paper,42.05,50.28,8.79,0,1,recyclable
glass,46.67,14.44,14.09,0,1,recyclable
organic,183.49,44.21,9.2,1,0,organic
organic,176.25,33.41,9.36,0,0,organic
plastic,158.02,52.18,10.99,1,1,recyclable
e-waste,125.28,58.57,20.26,0,0,hazardous
plastic,5.0,0.85,15.52,0,1,recyclable
paper,115.51,76.1,16.04,0,1,recyclable
plastic,147.25,71.3,20.04,0,1,recyclable
glass,87.92,36.63,16.51,1,1,recyclable
organic,77.25,5.29,6.34,0,0,organic
paper,206.67,75.49,16.44,0,1,recyclable
plastic,116.38,95.52,17.07,1,1,recyclable
e-waste,147.29,24.02,15.26,1,0,hazardous
glass,166.45,32.35,11.02,0,1,recyclable
glass,59.91,18.38,14.73,1,1,recyclable
plastic,131.59,57.69,11.9,0,1,recyclable
organic,199.18,15.48,7.11,1,0,organic
plastic,229.15,35.62,8.35,0,1,recyclable
paper,122.4,69.7,15.52,1,1,recyclable
plastic,105.72,56.01,7.47,0,1,recyclable
glass,136.14,38.65,7.94,0,1,recyclable
plastic,134.62,42.02,15.77,0,1,recyclable
organic,203.21,56.21,12.67,0,0,organic
e-waste,60.22,0.59,14.89,0,0,hazardous
metal,103.21,7.85,5.85,0,1,recyclable
plastic,52.97,88.13,14.75,1,1,recyclable
organic,59.27,7.79,8.7,0,0,organic
organic,142.59,70.68,6.92,0,0,organic
e-waste,168.59,92.0,9.47,0,0,hazardous
glass,81.04,27.07,18.81,1,1,recyclable
organic,166.33,37.05,10.18,0,0,organic
organic,186.69,56.89,23.01,0,0,organic
organic,236.08,88.17,1.69,1,0,organic
organic,124.18,94.19,4.27,0,0,organic
paper,81.61,73.96,18.62,0,1,recyclable
paper,59.85,8.66,19.88,0,1,recyclable
glass,53.89,66.92,7.68,1,1,recyclable
plastic,194.99,41.03,12.34,0,1,recyclable
organic,29.09,47.07,15.56,0,0,organic
e-waste,193.06,4.91,10.85,1,0,hazardous
plastic,67.89,19.11,12.75,0,1,recyclable
e-waste,78.89,79.05,12.05,0,0,hazardous
plastic,110.91,45.4,4.59,1,1,recyclable
glass,77.78,30.17,10.28,0,1,recyclable
organic,175.92,38.4,12.06,0,0,organic
organic,228.8,85.44,12.52,0,0,organic
metal,80.55,74.9,3.35,1,1,recyclable
e-waste,94.07,27.23,15.77,0,0,hazardous
plastic,110.2,11.75,12.65,0,1,recyclable
plastic,152.46,25.2,6.72,1,1,recyclable
paper,110.79,92.08,21.0,0,1,recyclable
metal,203.24,58.16,10.27,0,1,recyclable
paper,188.8,53.35,10.59,1,1,recyclable
paper,48.87,59.64,15.21,0,1,recyclable
paper,151.26,36.6,21.42,1,1,recyclable
e-waste,211.22,80.71,15.41,0,0,hazardous
e-waste,90.31,52.33,16.13,0,0,hazardous
glass,102.34,11.67,6.99,0,1,recyclable
glass,88.32,12.91,12.43,0,1,recyclable
paper,89.58,53.69,9.34,0,1,recyclable
metal,19.89,93.66,15.52,0,1,recyclable
plastic,40.3,30.84,15.98,1,1,recyclable
e-waste,124.65,86.95,20.17,0,0,hazardous
metal,210.82,76.41,1.21,0,1,recyclable
organic,83.2,24.78,8.85,0,0,organic
e-waste,81.43,3.63,18.5,0,0,hazardous
e-waste,222.09,10.18,4.99,0,0,hazardous
glass,53.5,72.85,16.03,0,1,recyclable
plastic,20.33,19.97,17.67,0,1,recyclable
plastic,70.29,37.13,11.86,0,1,recyclable
organic,80.23,50.17,4.89,0,0,organic
organic,15.15,72.55,11.39,0,0,organic
e-waste,112.32,11.32,19.29,0,0,hazardous
paper,176.91,40.64,19.7,1,1,recyclable
glass,42.84,48.51,13.04,0,1,recyclable
glass,125.25,54.08,7.11,0,1,recyclable
e-waste,143.76,81.84,20.69,0,0,hazardous
metal,115.0,17.17,16.1,0,1,recyclable
paper,131.14,80.78,7.44,0,1,recyclable
e-waste,131.84,69.29,13.71,1,0,hazardous
paper,71.24,55.59,13.48,0,1,recyclable
paper,209.91,69.95,8.82,0,1,recyclable
paper,194.87,41.2,13.74,0,1,recyclable
e-waste,191.39,13.84,17.53,0,0,hazardous
glass,180.82,66.58,10.52,1,1,recyclable
glass,25.5,52.47,18.04,0,1,recyclable
paper,175.56,63.94,3.22,0,1,recyclable
metal,159.34,33.8,23.09,0,1,recyclable
plastic,27.81,90.69,12.29,0,1,recyclable
e-waste,107.11,58.74,17.37,0,0,hazardous
plastic,136.61,8.54,13.09,1,1,recyclable
metal,219.86,44.98,7.88,0,1,recyclable
e-waste,163.48,75.64,11.82,0,0,hazardous
paper,68.13,79.41,2.45,0,1,recyclable
glass,221.72,49.46,15.44,0,1,recyclable
plastic,122.63,89.47,12.97,0,1,recyclable
organic,104.65,26.77,11.04,0,0,organic
organic,100.37,41.06,15.76,0,0,organic
metal,22.59,89.86,12.19,0,1,recyclable
paper,113.41,89.63,15.03,1,1,recyclable
plastic,149.85,68.57,16.81,0,1,recyclable
paper,96.88,85.9,9.25,0,1,recyclable
plastic,145.23,8.88,7.82,0,1,recyclable
metal,68.14,86.5,3.39,0,1,recyclable
metal,111.54,32.06,12.61,0,1,recyclable
organic,138.99,17.83,14.26,1,0,organic
paper,131.38,23.94,5.38,0,1,recyclable
e-waste,23.67,41.8,19.1,0,0,hazardous
organic,93.66,25.12,7.89,0,0,organic
paper,220.65,32.06,1.48,0,1,recyclable
organic,90.45,13.5,19.47,0,0,organic
e-waste,120.95,29.62,2.13,1,0,hazardous
glass,114.79,57.23,16.82,0,1,recyclable
glass,214.09,44.19,15.61,0,1,recyclable
glass,197.42,34.67,13.6,0,1,recyclable
glass,168.45,74.65,9.39,0,1,recyclable
plastic,61.61,89.35,14.51,0,1,recyclable
glass,141.55,75.68,17.24,1,1,recyclable
e-waste,154.08,33.2,7.07,0,0,hazardous
metal,78.08,74.44,16.88,1,1,recyclable
metal,67.77,15.2,16.65,1,1,recyclable
plastic,222.3,13.03,13.47,0,1,recyclable
glass,101.95,34.56,9.31,0,1,recyclable
glass,216.9,80.77,16.68,0,1,recyclable
glass,179.83,24.63,14.54,1,1,recyclable
organic,144.47,6.33,6.92,0,0,organic
paper,147.15,13.17,10.16,0,1,recyclable
organic,35.97,85.87,16.1,0,0,organic
paper,132.41,63.38,12.57,0,1,recyclable
glass,205.02,25.32,17.43,0,1,recyclable
glass,160.88,55.53,10.29,0,1,recyclable
organic,129.26,52.76,7.0,0,0,organic
organic,222.72,65.54,22.97,1,0,organic
paper,108.9,23.32,3.6,0,1,recyclable
metal,82.83,86.44,9.5,0,1,recyclable
paper,129.23,30.94,13.4,1,1,recyclable
organic,165.99,69.41,16.93,0,0,organic
e-waste,16.93,1.61,15.23,1,0,hazardous
organic,137.09,37.27,23.56,0,0,organic
e-waste,168.62,35.17,11.41,0,0,hazardous
plastic,103.82,54.35,7.64,0,1,recyclable
organic,186.42,7.27,10.9,0,0,organic
plastic,158.47,79.01,10.4,1,1,recyclable
metal,248.48,21.78,11.66,0,1,recyclable
paper,74.96,67.7,7.09,0,1,recyclable
e-waste,169.84,80.32,15.92,0,0,hazardous
paper,58.96,56.19,13.85,1,1,recyclable
plastic,23.08,74.09,5.68,0,1,recyclable
e-waste,5.0,66.19,16.84,1,0,hazardous
paper,152.3,35.55,7.94,0,1,recyclable
organic,131.05,80.89,6.09,0,0,organic
glass,91.26,29.47,12.44,0,1,recyclable
plastic,13.59,57.12,3.21,0,1,recyclable
paper,78.58,74.54,14.95,0,1,recyclable
plastic,120.25,37.9,1.0,0,1,recyclable
plastic,167.59,30.28,6.85,0,1,recyclable
e-waste,119.01,45.93,19.88,0,0,hazardous
e-waste,135.12,81.8,8.57,0,0,hazardous
glass,97.43,92.99,9.44,0,1,recyclable
organic,224.95,54.51,18.37,0,0,organic
plastic,58.91,66.15,8.04,0,1,recyclable
paper,78.05,90.33,15.82,0,1,recyclable
metal,90.46,9.85,17.87,1,1,recyclable
plastic,152.56,23.21,14.39,1,1,recyclable
plastic,57.67,70.89,4.78,0,1,recyclable
glass,128.14,82.37,8.98,0,1,recyclable
organic,129.89,85.7,25.57,1,0,organic
metal,78.34,41.51,9.55,0,1,recyclable
e-waste,139.8,8.93,26.93,0,0,hazardous
e-waste,59.53,43.78,20.54,0,0,hazardous
paper,52.98,23.07,14.6,0,1,recyclable
metal,125.98,29.12,13.49,0,1,recyclable
e-waste,20.41,77.23,9.68,1,0,hazardous
paper,5.0,7.55,11.56,0,1,recyclable
organic,151.97,82.76,8.56,0,0,organic
paper,182.94,42.77,11.68,0,1,recyclable
e-waste,91.99,59.61,5.19,0,0,hazardous
glass,79.92,8.97,4.92,0,1,recyclable
glass,180.33,33.74,18.51,0,1,recyclable
glass,51.27,8.97,3.94,0,1,recyclable
e-waste,38.2,96.15,16.43,1,0,hazardous
glass,162.46,80.73,2.53,0,1,recyclable
metal,120.54,45.96,15.15,0,1,recyclable
organic,183.89,22.36,10.96,0,0,organic
paper,5.0,93.35,18.61,0,1,recyclable
paper,35.96,34.46,10.34,0,1,recyclable
e-waste,120.86,16.1,1.95,1,0,hazardous
glass,145.06,56.32,11.06,1,1,recyclable
glass,170.82,94.38,12.8,0,1,recyclable
plastic,130.49,0.38,11.34,0,1,recyclable
organic,129.88,23.81,14.88,0,0,organic
metal,96.64,93.84,9.18,0,1,recyclable
paper,215.45,17.11,5.68,0,1,recyclable
plastic,53.82,11.32,7.0,1,1,recyclable
plastic,141.54,57.02,9.42,0,1,recyclable
e-waste,60.73,86.18,9.38,0,0,hazardous
paper,152.09,47.71,24.03,0,1,recyclable
e-waste,57.78,99.46,18.28,0,0,hazardous
metal,164.63,67.92,15.43,0,1,recyclable
plastic,126.73,7.41,14.23,0,1,recyclable
plastic,224.68,99.28,13.5,0,1,recyclable
organic,103.14,40.79,13.53,0,0,organic
metal,145.5,28.74,12.82,0,1,recyclable
plastic,73.22,55.79,12.2,0,1,recyclable
metal,102.73,30.43,1.54,0,1,recyclable
paper,126.34,8.65,10.15,1,1,recyclable
glass,28.37,0.14,10.8,0,1,recyclable
plastic,34.94,44.96,8.26,0,1,recyclable
organic,155.99,83.69,9.22,0,0,organic
paper,111.23,57.23,13.5,0,1,recyclable
metal,84.42,99.92,15.84,0,1,recyclable
e-waste,75.78,28.68,13.5,0,0,hazardous
paper,78.09,28.05,15.71,0,1,recyclable
plastic,126.75,15.97,15.8,0,1,recyclable
metal,146.7,16.41,10.5,0,1,recyclable
glass,5.0,28.52,14.63,0,1,recyclable
paper,204.77,79.28,3.27,1,1,recyclable
plastic,200.5,90.58,10.08,0,1,recyclable
organic,5.0,97.51,9.49,0,0,organic
e-waste,185.16,23.23,19.66,0,0,hazardous
metal,183.31,88.13,13.69,0,1,recyclable
paper,120.03,32.83,5.33,0,1,recyclable
paper,42.17,11.28,14.97,1,1,recyclable
glass,180.91,87.0,16.55,1,1,recyclable
glass,105.53,63.61,11.55,0,1,recyclable
organic,152.93,16.47,15.45,0,0,organic
e-waste,253.15,42.98,1.0,0,0,hazardous
organic,135.11,28.73,1.0,0,0,organic
plastic,64.99,73.68,6.11,0,1,recyclable
plastic,99.86,45.34,12.75,1,1,recyclable
organic,72.63,98.93,19.66,0,0,organic
e-waste,146.01,5.47,6.37,0,0,hazardous
organic,71.64,35.5,7.73,0,0,organic
e-waste,91.63,48.19,12.44,0,0,hazardous
e-waste,42.93,50.31,9.54,0,0,hazardous
metal,112.07,31.59,9.25,0,1,recyclable
e-waste,130.61,72.92,9.89,0,0,hazardous
glass,5.0,87.47,18.57,0,1,recyclable
e-waste,135.57,93.87,17.58,0,0,hazardous
e-waste,117.26,80.51,12.12,0,0,hazardous
e-waste,74.1,85.06,20.27,0,0,hazardous
plastic,241.72,55.05,14.55,0,1,recyclable
glass,177.51,82.59,17.77,0,1,recyclable
glass,54.22,30.35,7.7,0,1,recyclable
organic,170.29,39.85,8.73,0,0,organic
metal,194.67,31.69,8.68,0,1,recyclable
e-waste,127.92,46.74,11.57,0,0,hazardous
paper,141.69,28.56,12.3,0,1,recyclable
metal,140.3,96.16,13.62,0,1,recyclable
metal,5.0,31.28,21.87,1,1,recyclable
glass,108.79,9.8,15.61,0,1,recyclable
metal,105.67,52.68,9.43,0,1,recyclable
e-waste,205.81,5.71,11.98,0,0,hazardous
e-waste,140.02,11.05,19.52,0,0,hazardous
plastic,102.14,21.94,15.91,0,1,recyclable
e-waste,114.59,46.44,19.46,0,0,hazardous
e-waste,181.4,43.33,9.59,0,0,hazardous
glass,108.92,79.97,8.44,0,1,recyclable
e-waste,78.11,73.95,8.51,0,0,hazardous
plastic,103.46,42.63,9.99,1,1,recyclable
paper,176.44,33.37,6.68,0,1,recyclable
glass,149.77,31.65,13.48,0,1,recyclable
paper,122.66,77.4,13.56,1,1,recyclable
glass,131.49,5.21,18.69,1,1,recyclable
organic,86.42,1.28,3.2,0,0,organic
metal,108.36,79.55,7.28,0,1,recyclable
organic,80.2,47.71,16.03,0,0,organic
e-waste,102.31,13.09,12.92,0,0,hazardous
paper,200.77,23.56,12.22,1,1,recyclable
e-waste,55.33,93.25,18.32,0,0,hazardous
metal,78.68,85.95,6.95,0,1,recyclable
glass,44.74,70.98,8.36,1,1,recyclable
metal,31.75,48.22,7.77,0,1,recyclable
plastic,108.79,52.03,1.94,0,1,recyclable
metal,82.94,97.52,12.66,1,1,recyclable
plastic,225.7,96.58,9.39,1,1,recyclable
metal,103.03,21.53,8.34,1,1,recyclable
plastic,197.36,81.11,7.43,0,1,recyclable
paper,178.08,19.72,11.91,0,1,recyclable
e-waste,107.46,21.35,8.01,0,0,hazardous
e-waste,246.61,67.61,13.11,0,0,hazardous
organic,136.11,40.5,14.3,1,0,organic
e-waste,210.78,93.15,10.53,0,0,hazardous
glass,203.8,8.9,10.19,0,1,recyclable
metal,144.88,51.15,12.93,0,1,recyclable
organic,165.07,91.85,11.86,0,0,organic
glass,157.44,90.41,18.65,0,1,recyclable
glass,51.34,15.65,13.59,0,1,recyclable
plastic,123.44,36.66,17.48,0,1,recyclable
e-waste,184.45,61.91,15.05,0,0,hazardous
paper,211.57,15.94,5.41,1,1,recyclable
paper,76.76,96.8,9.21,0,1,recyclable
organic,151.73,91.47,11.76,0,0,organic
paper,129.05,16.7,16.34,0,1,recyclable
metal,112.93,12.12,21.64,1,1,recyclable
paper,141.36,8.54,9.58,0,1,recyclable
organic,133.08,90.94,12.28,0,0,organic
paper,152.48,19.36,16.0,0,1,recyclable
metal,206.5,41.63,11.71,0,1,recyclable
plastic,167.05,44.89,20.22,0,1,recyclable
organic,138.64,59.9,5.26,0,0,organic
plastic,231.88,7.17,15.39,0,1,recyclable
plastic,186.6,22.68,15.34,1,1,recyclable
plastic,114.46,93.15,17.76,0,1,recyclable
glass,46.97,90.84,12.31,0,1,recyclable
e-waste,60.73,78.13,16.46,0,0,hazardous
glass,175.99,1.94,10.75,0,1,recyclable
e-waste,82.18,32.7,7.99,0,0,hazardous
plastic,59.52,62.8,7.26,0,1,recyclable
organic,74.51,27.52,4.79,0,0,organic
e-waste,78.76,90.96,9.79,0,0,hazardous
metal,171.04,63.39,13.56,0,1,recyclable
metal,110.6,7.19,10.96,0,1,recyclable
paper,37.66,90.9,12.99,0,1,recyclable
e-waste,121.86,95.78,18.17,0,0,hazardous
organic,133.34,7.77,9.41,0,0,organic
glass,91.24,53.24,23.7,0,1,recyclable
plastic,189.35,30.34,15.78,0,1,recyclable
paper,94.74,39.28,11.02,1,1,recyclable
metal,186.5,17.97,10.9,1,1,recyclable
glass,155.81,57.81,6.96,1,1,recyclable
glass,175.6,95.8,11.87,1,1,recyclable
plastic,54.09,50.31,1.19,0,1,recyclable
e-waste,125.9,8.29,18.28,0,0,hazardous
metal,116.83,62.0,1.0,0,1,recyclable
organic,34.68,34.02,12.21,0,0,organic
glass,186.3,85.59,6.28,1,1,recyclable
plastic,70.96,43.47,8.49,0,1,recyclable
organic,83.43,19.28,9.14,0,0,organic
e-waste,59.2,19.11,21.63,0,0,hazardous
metal,162.07,76.88,6.48,1,1,recyclable
e-waste,28.44,26.56,16.57,1,0,hazardous
glass,157.07,76.72,17.8,0,1,recyclable
organic,182.67,20.59,1.0,1,0,organic
organic,152.23,32.17,8.92,0,0,organic
organic,162.76,46.55,19.42,0,0,organic
glass,165.57,94.32,5.43,0,1,recyclable
glass,63.03,93.17,17.99,0,1,recyclable
e-waste,206.08,20.69,11.91,0,0,hazardous
paper,92.4,35.82,11.69,0,1,recyclable
e-waste,116.02,14.94,12.35,1,0,hazardous
metal,100.04,51.0,13.71,0,1,recyclable
plastic,149.49,46.06,7.22,0,1,recyclable
organic,87.72,90.08,10.7,0,0,organic
paper,124.01,93.0,13.85,0,1,recyclable
plastic,45.88,38.36,12.88,0,1,recyclable
paper,189.88,49.17,13.75,0,1,recyclable
e-waste,160.24,89.62,8.41,0,0,hazardous
glass,102.46,80.67,15.16,0,1,recyclable
organic,91.85,0.37,12.63,0,0,organic
e-waste,158.68,32.01,4.1,0,0,hazardous
plastic,77.56,42.18,9.34,1,1,recyclable
plastic,127.52,22.97,7.52,0,1,recyclable
plastic,189.68,19.96,7.46,0,1,recyclable
plastic,71.32,3.78,9.62,0,1,recyclable
plastic,142.12,64.34,15.07,0,1,recyclable
paper,138.94,26.25,8.87,0,1,recyclable
e-waste,114.16,5.23,13.13,1,0,hazardous
organic,89.77,23.1,12.31,0,0,organic
glass,192.89,80.19,8.1,0,1,recyclable
glass,84.15,85.15,10.28,0,1,recyclable
e-waste,11.28,48.31,16.32,0,0,hazardous
e-waste,158.43,41.61,12.75,0,0,hazardous
glass,47.92,97.79,14.74,0,1,recyclable
glass,161.51,20.06,18.36,0,1,recyclable
paper,200.09,21.54,14.17,1,1,recyclable
metal,157.78,29.19,2.4,0,1,recyclable
organic,184.28,17.28,13.35,1,0,organic
plastic,241.2,37.94,8.91,1,1,recyclable
metal,178.01,91.08,21.05,1,1,recyclable
e-waste,139.83,61.53,14.0,0,0,hazardous
glass,218.04,41.19,9.01,0,1,recyclable
metal,225.29,93.44,14.83,0,1,recyclable
organic,226.13,4.85,12.45,0,0,organic
e-waste,90.47,21.03,3.41,1,0,hazardous
plastic,38.76,56.59,16.32,0,1,recyclable
plastic,86.81,61.56,9.97,0,1,recyclable
organic,162.22,3.96,19.1,0,0,organic
organic,129.55,40.3,11.38,0,0,organic
glass,107.61,64.92,19.2,0,1,recyclable
plastic,153.63,69.81,14.12,0,1,recyclable
e-waste,31.75,63.81,16.87,0,0,hazardous
metal,128.47,32.06,9.54,0,1,recyclable
